0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:19:06 +0700] "GET /magic-frontend/search-result?day=2&month=7&year=2019&from=1&to=2 HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:19:11 +0700] "GET /magic-frontend/search-result?day=3&month=7&year=2019&from=1&to=2 HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:19:17 +0700] "GET /magic-frontend/search-result?day=4&month=7&year=2019&from=1&to=2 HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:19:22 +0700] "GET /magic-frontend/search-result?day=5&month=7&year=2019&from=1&to=2 HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:19:28 +0700] "GET /magic-frontend/search-result?day=9&month=7&year=2019&from=1&to=2 HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:21:30 +0700] "GET /magic-frontend/search-line HTTP/1.1" 200 17552
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:21:30 +0700] "GET /magic-frontend/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:21:30 +0700] "GET /magic-frontend/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:21:30 +0700] "GET /magic-frontend/jquery/modal.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:21:30 +0700] "GET /magic-frontend/jquery/modal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:21:30 +0700] "GET /magic-frontend/imgs/1234.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:21:30 +0700] "GET /magic-frontend/imgs/b1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:21:30 +0700] "GET /magic-frontend/imgs/danang.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:21:30 +0700] "GET /magic-frontend/imgs/nhatrang.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:21:30 +0700] "GET /magic-frontend/imgs/phuquoc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:21:30 +0700] "GET /magic-frontend/imgs/hanoi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:21:30 +0700] "GET /magic-frontend/imgs/hoian.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:21:30 +0700] "GET /magic-frontend/imgs/dalat.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:21:30 +0700] "GET /magic-frontend/imgs/hue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:21:30 +0700] "GET /magic-frontend/imgs/vungtau.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:21:30 +0700] "GET /magic-frontend/imgs/cantho.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:21:30 +0700] "GET /magic-frontend/imgs/r_logo_1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:21:30 +0700] "GET /magic-frontend/imgs/header.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:21:32 +0700] "GET /magic-frontend/search-line HTTP/1.1" 200 17552
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:21:55 +0700] "GET /magic-frontend/imgs/222.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:21:55 +0700] "GET /magic-frontend/search-result?day=1&month=7&year=2019&from=1&to=2 HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:22:10 +0700] "GET /magic-frontend/search-result?day=1&month=10&year=2019&from=1&to=2 HTTP/1.1" 200 557
